subcategory_name,character_name,vote_count,mbti,eneagrama,grupo
Chainsaw Man,Power,3960,ESFP, 8w7,Explorador
Haikyuu!!,Kageyama Tobio,3958,ISTJ, 1w9,Sentinela
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya Shinomiya,3950,INTJ, 3w4,Analista
Koe no Katachi,Shouko Nishimiya,3876,ESFJ, 9w1,Sentinela
Death Note,Ryuk,3862,ENTP, 7w8,Analista
Bishoujo Senshi Sailor Moon,Usagi Tsukino (Sailor Moon),3834,ENFP, 2w3,Diplomatico
Monster,Johan Liebert,3813,INFJ, 4w5,Diplomatico
Boku no Hero Academia,Ochako Uraraka “Uravity”,3805,ESFJ, 2w3,Sentinela
Yakusoku no Neverland,Emma,3799,ENFJ, 2w1,Diplomatico
Tokyo Ghoul,Kaneki Ken,3726,INFP, 9w1,Diplomatico
One Piece,Monkey D. Luffy,3696,ESFP, 7w8,Explorador
Haikyuu!!,Kuroo Tetsurou,3681,ENTP, 8w7,Analista
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Miyuki Shirogane,3640,ENTJ, 3w2,Analista
Naruto Shippūden,Kakashi Hatake,3596,INTP, 6w5,Analista
Shingeki no Kyojin,Annie Leonhart,3577,ISTP, 9w8,Explorador
Sen to Chihiro no Kamikakushi,Haku,3562,INTJ, 1w9,Analista
Bungou Stray Dogs,Doppo Kunikida,3526,ISTJ, 1w2,Sentinela
Jujutsu Kaisen,Ryomen Sukuna,3503,ENTJ, 8w7,Analista
Haikyuu!!,Tsukishima Kei,3463,INTJ, 5w6,Analista
Kimetsu no Yaiba,Giyū Tomioka,3440,ISTJ, 1w9,Sentinela
Hyouka,Oreki Houtarou,3434,INTJ, 5w6,Analista
Boku no Hero Academia,Dabi,3422,ISTP, 4w3,Explorador
Chainsaw Man,Aki Hayakawa,3417,ISTJ, 1w9,Sentinela
Berserk,Griffith,3397,ENTJ, 3w4,Analista
Shingeki no Kyojin,Ymir,3373,ISTP, 8w9,Explorador
Yuukoku no Moriarty,William James Moriarty,3329,INTJ, 1w2,Analista
Chainsaw Man,Angel Devil,3294,INTP, 5w4,Analista
Spy × Family,Loid Forger “Twilight”,3290,INTJ, 6w5,Analista
Shingeki no Kyojin,Jean Kirstein,3236,ESTJ, 6w7,Sentinela
JoJo no Kimyou na Bouken,Dio Brando,3223,ENTJ, 3w4,Analista
JoJo no Kimyou na Bouken,Jotaro Kujo,3186,ISTP, 8w9,Explorador
Shingeki no Kyojin,Falco Grice,3179,ENFJ, 9w1,Diplomatico
Bungou Stray Dogs,Nikolai Gogol,3141,ESFP, 7w8,Explorador
Jujutsu Kaisen,Maki Zenin,3108,ESTJ, 8w9,Sentinela
Yuukoku no Moriarty,Sherlock Holmes,3095,ISTP, 7w8,Explorador
Tokyo Revengers,Shuji Hanma,3089,ESTP, 7w8,Explorador
Shingeki no Kyojin,Sasha Braus,3076,ESFP, 7w6,Explorador
Fruits Basket (2019),Tohru Honda,3048,ESFJ, 9w1,Sentinela
Kimetsu no Yaiba,Kyōjurō Rengoku,3009,ENFJ, 1w2,Diplomatico
"Komi-san wa, Komyushou desu.",Shouko Komi,2998,INFJ, 6w5,Diplomatico
Haikyuu!!,Sugawara Koushi,2998,INFJ, 2w1,Diplomatico
Mob Psycho 100,"Shigeo ""Mob"" Kageyama",2992,INFP, 9w1,Diplomatico
Jibaku Shounen Hanako-kun,Yashiro Nene,2970,ISFP, 2w3,Explorador
Serial Experiments Lain,Lain Iwakura,2948,INTP, 5w4,Analista
Kimetsu no Yaiba,Mitsuri Kanroji,2930,INFP, 2w3,Diplomatico
Youkoso Jitsuryoku Shijou no Kyoushitsu,Kiyotaka Ayanokōji,2930,INTJ, 5w6,Analista
Kakegurui,Mary Saotome,2928,ESTJ, 8w9,Sentinela
Ouran Koukou Host Club,Haruhi Fujioka,2910,ISTJ, 9w1,Sentinela
Jibaku Shounen Hanako-kun,"Yugi Amane ""Hanako""",2909,ENTP, 7w6,Analista
Darling in the Franxx,Zero Two,2900,ESTP, 7w8,Explorador
Monster,Dr. Kenzo Tenma,2898,INFP, 1w2,Diplomatico
Banana Fish,Ash Lynx,2859,ISTP, 6w5,Explorador
Mahou Shoujo Madoka★Magica,Madoka Kaname,2854,ISFJ, 9w1,Sentinela
Saiki Kusuo no Psi-nan,Kaidou Shun,2848,INFP, 4w3,Diplomatico
Jujutsu Kaisen,Kento Nanami,2806,ISTJ, 1w9,Sentinela
Boku no Hero Academia,Denki Kaminari “Chargebolt”,2788,ENTP, 7w6,Analista
Fullmetal Alchemist: Brotherhood,Edward Elric,2788,ENTP, 6w7,Analista
Boku no Hero Academia,Tamaki Amajiki “Suneater”,2770,INFP, 6w5,Diplomatico
JoJo no Kimyou na Bouken,Joseph Joestar,2751,ESTP, 7w8,Explorador
Shingeki no Kyojin,Gabi Braun,2738,ESFP, 3w4,Explorador
Boku no Hero Academia,"Shota Aizawa ""Eraser Head""",2710,ISTP, 9w8,Explorador
Nana,Nana “Hachi” Komatsu,2705,ESFJ, 2w3,Sentinela
Hunter X Hunter,Meruem,2704,INTJ, 8w9,Analista
Jujutsu Kaisen,Suguru Geto,2694,INTJ, 1w2,Analista
Naruto Shippūden,Hinata Hyūga,2679,ISFJ, 9w1,Sentinela
Dr. Stone,Senku Ishigami,2648,INTP, 5w6,Analista
Naruto Shippūden,Shikamaru Nara,2637,INTP, 9w8,Analista
Shingeki no Kyojin,Pieck Finger,2611,INTP, 9w1,Analista
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Yu Ishigami,2605,INTP, 6w5,Analista
Jujutsu Kaisen,Toji Fushiguro,2595,ISTP, 8w7,Explorador
Haikyuu!!,Miya Osamu,2594,INTP, 9w8,Analista
Boku no Hero Academia,Himiko Toga,2591,ENTP, 7w6,Analista
Mob Psycho 100,Arataka Reigen,2580,ENTP, 3w4,Analista
Mirai Nikki,Yuno Gasai,2570,INFJ, 2w3,Diplomatico
Chainsaw Man,Kobeni Higashiyama,2568,ISFJ, 6w5,Sentinela
Jujutsu Kaisen,Mahito,2553,ENTP, 7w8,Analista
Haikyuu!!,Akaashi Keiji,2531,INTJ, 6w5,Analista
Jujutsu Kaisen,Yuta Okkotsu,2525,INFJ, 6w5,Diplomatico
Shingeki no Kyojin,Floch Forster,2479,ENTJ, 6w7,Analista
Berserk,Guts,2477,ISTP, 6w5,Explorador
Boku no Hero Academia,Tomura Shigaraki,2455,INTP, 6w5,Analista
Naruto Shippūden,Sakura Haruno,2447,ESFJ, 2w1,Sentinela
Shingeki no Kyojin,Zeke Yeager,2436,INTP, 5w4,Analista
Spy × Family,Yor Forger “Thorn Princess”,2415,ISFJ, 9w1,Sentinela
Neon Genesis Evangelion,Ryoji Kaji,2406,ENTP, 7w8,Analista
Kimetsu no Yaiba,Nezuko Kamado,2397,ISFJ, 9w1,Sentinela
One Piece,Nami,2359,ESTJ, 6w5,Sentinela
Beastars,Legoshi,2352,INFP, 9w1,Diplomatico
Horimiya (Hori-san to Miyamura-kun),Izumi Miyamura,2335,INFP, 6w7,Diplomatico
Naruto Shippūden,Gaara,2335,INFP, 4w5,Diplomatico
Jibaku Shounen Hanako-kun,Minamoto Kou,2324,ESFP, 2w1,Explorador
Owari no Seraph,Mikaela Hyakuya,2298,INFJ, 1w9,Diplomatico
Violet Evergarden,Violet Evergarden,2280,ISTJ, 6w5,Sentinela
Tokyo Revengers,"Keisuke ""Edward"" Baji",2277,ESTP, 6w7,Explorador
Neon Genesis Evangelion,Gendo Ikari,2275,INTJ, 5w4,Analista
Naruto Shippūden,Madara Uchiha,2271,ENTJ, 8w9,Analista
Boku no Hero Academia,Eijirou Kirishima “Red Riot”,2261,ESFP, 6w7,Explorador
Boku no Hero Academia,Hitoshi Shinso,2256,INTP, 5w6,Analista
Bungou Stray Dogs,Sakunosuke Oda “Odasaku”,2250,INFJ, 9w1,Diplomatico
Wonder Egg Priority,Ai Ohto,2244,ISFP, 9w8,Explorador
Shingeki no Kyojin,Reiner Braun,2222,ESFJ, 3w2,Sentinela
SK∞,Miya Chinen,2221,ENTJ, 3w4,Analista
Boku no Hero Academia,Momo Yaoyorozu “Creati”,2199,ISFJ, 6w5,Sentinela
JoJo no Kimyou na Bouken,Giorno Giovanna,2196,INTJ, 1w9,Analista
JoJo no Kimyou na Bouken,Jonathan Joestar,2192,ENFJ, 1w2,Diplomatico
Shingeki no Kyojin,Bertholdt Hoover,2191,ISFJ, 9w1,Sentinela
Nana,Nana Osaki,2188,ISFP, 4w3,Explorador
Spy × Family,Anya Forger,2187,ENFP, 7w6,Diplomatico
Fruits Basket (2019),Yuki Sohma,2171,INFJ, 4w3,Diplomatico
Boku no Hero Academia,"Toshinori Yagi ""All Might""",2165,ENFJ, 2w3,Diplomatico
Jibaku Shounen Hanako-kun,Mitsuba Sousuke,2153,INFP, 4w3,Diplomatico
Fullmetal Alchemist: Brotherhood,Alphonse Elric,2153,INFP, 9w1,Diplomatico
Saiki Kusuo no Psi-nan,Teruhashi Kokomi,2153,ENFJ, 3w2,Diplomatico
Koe no Katachi,Shouya Ishida,2148,ISTP, 6w7,Explorador
JoJo no Kimyou na Bouken,Yoshikage Kira,2141,ISTJ, 9w1,Sentinela
Ouran Koukou Host Club,Tamaki Suoh,2135,ENFJ, 2w3,Diplomatico
Shingeki no Kyojin,Yelena,2133,INTJ, 1w9,Analista
Gotoubun no Hanayome,Miku Nakano,2129,INFP, 4w5,Diplomatico
Steins Gate,Kurisu Makise,2123,INTJ, 5w6,Analista
Kimetsu no Yaiba,Douma,2122,ENFJ, 7w6,Diplomatico
"Komi-san wa, Komyushou desu.",Hitohito Tadano,2121,ENFJ, 9w1,Diplomatico
Kakegurui,Kirari Momobami,2113,ENTJ, 7w8,Analista
Haikyuu!!,Bokuto Koutarou,2106,ESFP, 7w6,Explorador
Kuroshitsuji,Ciel Phantomhive,2104,INTJ, 5w4,Analista
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Chika Fujiwara,2097,ENFP, 7w6,Diplomatico
Re:Zero Kara Hajimeru Isekai Seikatsu,Natsuki Subaru,2093,ENFP, 7w6,Diplomatico
Boku no Hero Academia,Tenya Iida “Ingenium”,2084,ESTJ, 1w2,Sentinela
Chainsaw Man,Reze,2082,ENTP, 3w2,Analista
Kimi ni Todoke,Kuronuma Sawako,2077,ISFJ, 9w1,Sentinela
Tokyo Revengers,Izana Kurokawa,2072,ENTJ, 4w3,Analista
Mahou Shoujo Madoka★Magica,Sayaka Miki,2064,ESFP, 2w1,Explorador
JoJo no Kimyou na Bouken,Josuke Higashikata,2023,ENFP, 9w8,Diplomatico
Dragon Ball Z,Son Gokū,2015,ESFP, 7w8,Explorador
Noragami,Yato,1967,ENTP, 3w4,Analista
One Piece,Roronoa Zoro,1966,ISTP, 8w9,Explorador
Death Note,Naomi Misora,1957,INFJ, 6w5,Diplomatico
JoJo no Kimyou na Bouken,Noriaki Kakyoin,1952,INTP, 5w4,Analista
Fruits Basket (2019),Kyo Sohma,1945,ISTP, 6w7,Explorador
Hunter X Hunter,Leorio Paradinight,1943,ESFJ, 3w2,Sentinela
Given,Mafuyu Satou,1938,INFP, 9w1,Diplomatico
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! (Watamote),Tomoko Kuroki,1934,INFP, 4w3,Diplomatico
One Piece,Nico Robin,1924,INTP, 5w6,Analista
Cowboy Bebop,Spike Spiegel,1916,ISTP, 9w8,Explorador
Bungou Stray Dogs,Sigma,1913,INFJ, 4w5,Diplomatico
Gintama,Gintoki Sakata,1869,INTP, 9w8,Analista
JoJo no Kimyou na Bouken,Jolyne Cujoh,1850,ESTP, 7w8,Explorador
Yakusoku no Neverland,Isabella / Mom,1842,ENFJ, 8w9,Diplomatico
Horimiya (Hori-san to Miyamura-kun),Kyouko Hori,1841,ESFJ, 2w3,Sentinela
Kimetsu no Yaiba,Muichiro Tokito,1839,INFP, 9w8,Diplomatico
Bungou Stray Dogs,Akiko Yosano,1837,ISTP, 8w9,Explorador
Boku no Hero Academia,Hawks,1835,ENTP, 7w8,Analista
Bungou Stray Dogs,Kenji Miyazawa,1830,ESFJ, 7w6,Sentinela
Ansatsu Kyoushitsu,Nagisa Shiota,1830,INFJ, 9w1,Diplomatico
Ao Haru Ride,Kou Mabuchi,1825,INFP, 5w4,Diplomatico
Fullmetal Alchemist: Brotherhood,Roy Mustang,1817,ENTJ, 3w2,Analista
JoJo no Kimyou na Bouken,Rohan Kishibe,1810,INTJ, 5w4,Analista
Jujutsu Kaisen,Junpei Yoshino,1809,INFP, 4w5,Diplomatico
Boku no Hero Academia,Kyoka Jiro “Earphone Jack”,1802,ISTP, 9w8,Explorador
Blue Period,Yatora Yaguchi,1800,ESFJ, 3w2,Sentinela
Death Note,Teru Mikami,1798,ISTJ, 1w9,Sentinela
Bungou Stray Dogs,Ogai Mori,1797,ENTJ, 8w9,Analista
Haikyuu!!,Yamaguchi Tadashi,1793,INFP, 6w7,Diplomatico
Boku no Hero Academia,Tsuyu Asui “Froppy”,1768,INTP, 9w1,Analista
One Punch Man,Saitama,1762,ISTP, 9w8,Explorador
Yuri!!! on Ice,Yuri Plisetsky,1746,ENTJ, 3w4,Analista
Wonder Egg Priority,Rika Kawai,1744,ESTP, 7w8,Explorador
Haikyuu!!,Tendou Satori,1742,ESTP, 7w8,Explorador
Banana Fish,Eiji Okumura,1740,ISFJ, 9w1,Sentinela
Oyasumi Punpun,Onodera Punpun,1735,INTP, 5w4,Analista
SK∞,Ainosuke Shindo (ADAM),1733,ESFP, 3w4,Explorador
Naruto Shippūden,Rock Lee,1723,ESFJ, 3w2,Sentinela
Mahou Shoujo Madoka★Magica,Mami Tomoe,1700,ENFJ, 1w2,Diplomatico
Bleach,Sōsuke Aizen,1692,INTJ, 3w4,Analista
Wonder Egg Priority,Momoe Sawaki,1692,INFJ, 2w3,Diplomatico
Tokyo Revengers,Takemichi “Takemitchy” Hanagaki,1692,ISFP, 9w1,Explorador
Kimetsu no Yaiba,Kanao Tsuyuri,1682,ISFJ, 9w1,Sentinela
Bungou Stray Dogs,Edgar Allan Poe,1679,INFP, 4w5,Diplomatico
Haikyuu!!,Nishinoya Yuu,1670,ESFP, 7w6,Explorador
Tokyo Revengers,Senju Kawaragi,1668,ISTP, 8w7,Explorador
Naruto Shippūden,Orochimaru,1664,ENTP, 5w4,Analista
Chainsaw Man,Quanxi,1660,ISTP, 9w8,Explorador
Howl no Ugoku Shiro,Sophie Hatter,1659,ISFJ, 2w1,Sentinela
Shigatsu wa Kimi no Uso,Kaori Miyazono,1654,ENFP, 7w6,Diplomatico
Kimetsu no Yaiba,Tengen Uzui,1649,ESTP, 8w7,Explorador
Sen to Chihiro no Kamikakushi,Chihiro Ogino,1642,INFP, 6w7,Diplomatico
Kimetsu no Yaiba,Muzan Kibutsuji,1641,ENTJ, 8w9,Analista
Naruto Shippūden,Temari,1641,ESTJ, 8w9,Sentinela
Steins Gate,Rintaro Okabe,1639,ENTP, 7w6,Analista
Naruto Shippūden,Obito Uchiha,1637,ENFP, 4w3,Diplomatico
Kakegurui,Midari Ikishima,1630,ESFP, 7w8,Explorador
Yahari Ore no Seishun Love Comedy wa Machigatteiru (Oregairu),Hikigaya Hachiman,1629,INTP, 5w4,Analista
Dragon Ball Z,Vegeta,1622,ESTJ, 3w4,Sentinela
Harukaze no Étranger/Umibe no Étranger,Mio Chibana,1619,INFP, 6w7,Diplomatico
Bishoujo Senshi Sailor Moon,Ami Mizuno (Sailor Mercury),1617,INFP, 9w1,Diplomatico
Mahou Shoujo Madoka★Magica,Kyouko Sakura,1610,ESTP, 8w7,Explorador
Hunter X Hunter,Ging Freecss,1606,ISTP, 5w6,Explorador
Boku no Hero Academia,Neito Monoma “Phantom Thief”,1596,ENTP, 3w4,Analista
Yuri!!! on Ice,Yuri Katsuki,1591,INFP, 9w1,Diplomatico
Haikyuu!!,Sakusa Kiyoomi,1578,ISTJ, 6w5,Sentinela
JoJo no Kimyou na Bouken,Bruno Bucciarati,1573,ISTJ, 1w2,Sentinela
One Piece,Vinsmoke Sanji,1573,ENFJ, 1w2,Diplomatico
Tokyo Revengers,Kazutora Hanemiya,1568,ISFP, 6w7,Explorador
Nanatsu no Taizai,Meliodas,1565,ENTP, 7w8,Analista
Jujutsu Kaisen,Toge Inumaki,1551,INTP, 5w6,Analista
Hunter X Hunter,Biscuit Krueger,1537,ENTJ, 8w7,Analista
Durarara!!,Izaya Orihara,1525,ENTP, 7w8,Analista
Haikyuu!!,Yachi Hitoka,1522,ISFJ, 6w7,Sentinela
Jibaku Shounen Hanako-kun,Yugi Tsukasa,1516,ESFP, 7w8,Explorador
Chainsaw Man,Himeno,1516,ENTP, 7w6,Analista
Death Note,Tōta Matsuda,1510,ENFP, 6w7,Diplomatico
Ansatsu Kyoushitsu,Korosensei,1508,ENTP, 7w8,Analista
Ouran Koukou Host Club,Kyouya Ootori,1504,INTJ, 3w4,Analista
One Piece,Usopp,1502,ENTP, 6w7,Analista
Kimetsu no Yaiba,Akaza,1499,ESTP, 8w9,Explorador
Kimetsu no Yaiba,Gyutaro,1492,ISFP, 4w3,Explorador
Neon Genesis Evangelion,Ritsuko Akagi,1488,ISTJ, 1w9,Sentinela
Tokyo Ghoul,Touka Kirishima,1485,ISTP, 6w5,Explorador
Vanitas no Carte,Noé Archiviste,1484,INFP, 1w2,Diplomatico
Fugou Keiji: Balance:Unlimited,Daisuke Kambe,1462,ENTJ, 8w9,Analista
Boku no Hero Academia,Yuga Aoyama “Can't Stop Twinkling”,1451,ISFP, 4w3,Explorador
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai (Aobuta),Mai Sakurajima,1440,ISTJ, 6w5,Sentinela
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai (Aobuta),Sakuta Azusagawa,1435,ISTP, 9w8,Explorador
Junji Ito Collection,Tomie Kawakami,1433,ESTP, 2w3,Explorador
Code Geass,C.C.,1428,INTP, 9w1,Analista
Naruto Shippūden,Nagato,1426,INFP, 9w1,Diplomatico
Saiki Kusuo no Psi-nan,Nendou Riki,1425,ESFP, 2w3,Explorador
Bungou Stray Dogs,Kyoka Izumi,1417,ISTJ, 9w8,Sentinela
Beastars,Louis,1416,ENTJ, 3w4,Analista
Owari no Seraph,Yuichiro Hyakuya,1412,ISFP, 6w7,Explorador
Wonder Egg Priority,Neiru Aonuma,1410,INTJ, 5w4,Analista
Tokyo Revengers,Takashi Mitsuya,1399,INFJ, 6w5,Diplomatico
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Celestia Ludenberg,1390,ISTP, 3w4,Explorador
Sono Bisque Doll wa Koi wo Suru,Marin Kitagawa,1387,ENFP, 7w8,Diplomatico
Monogatari Series,Hitagi Senjougahara,1385,INTJ, 6w5,Analista
Sanrio,Kuromi,1358,ISFP, 4w3,Explorador
"Komi-san wa, Komyushou desu.",Najimi Osana,1358,ENTP, 7w8,Analista
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Junko Enoshima,1358,ENFP, 7w8,Diplomatico
Fruits Basket (2019),Akito Sohma,1347,INFP, 4w3,Diplomatico
Toradora!,Taiga Aisaka,1343,ISFP, 6w5,Explorador
Jujutsu Kaisen,Aoi Todo,1339,ESTP, 8w7,Explorador
Devilman Crybaby,Akira Fudo,1332,ISFP, 9w8,Explorador
Fruits Basket (2019),Shigure Sohma,1332,ENTP, 5w4,Analista
Tokyo Revengers,Tetta Kisaki,1332,INTJ, 3w4,Analista
One Piece,Trafalgar D. Water Law,1331,INTJ, 5w6,Analista
Cowboy Bebop,Faye Valentine,1328,ESTP, 8w7,Explorador
Banana Fish,Yut-Lung Lee,1328,INTJ, 4w3,Analista
Naruto Shippūden,Minato Namikaze,1327,ENFJ, 1w2,Diplomatico
Vinland Saga,Askeladd,1327,ENTP, 8w7,Analista
Psycho-Pass,Shougo Makishima,1318,ENTP, 5w4,Analista
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Ai Hayasaka,1318,INFJ, 6w5,Diplomatico
Naruto Shippūden,Tsunade Senju,1315,ESTP, 8w7,Explorador
Kami no Tou,Khun Aguero Agnis,1312,INTJ, 5w6,Analista
JoJo no Kimyou na Bouken,Johnny Joestar,1308,INTP, 4w3,Analista
Nana,Shinichi “Shin” Okazaki,1306,ENTP, 7w6,Analista
Naruto Shippūden,Sasori,1303,INTJ, 1w9,Analista
Suzumiya Haruhi no Yuuutsu,Haruhi Suzumiya,1300,ENFP, 4w3,Diplomatico
Vinland Saga,Thorfinn,1299,ISFP, 6w5,Explorador
Yuri!!! on Ice,Victor Nikiforov,1297,ENFJ, 3w2,Diplomatico
Death Note,Soichiro Yagami,1292,ISTJ, 1w9,Sentinela
Haikyuu!!,Iwaizumi Hajime,1284,ISTP, 8w9,Explorador
Fate/Zero,Gilgamesh,1280,ENTJ, 8w7,Analista
Perfect Blue,Mima Kirigoe,1276,ISFJ, 9w1,Sentinela
Shingeki no Kyojin,Connie Springer,1276,ESFP, 7w6,Explorador
Monster,Heinrich Lunge,1274,INTJ, 5w6,Analista
Tokyo Ghoul,Juuzou Suzuya,1264,ESTP, 7w8,Explorador
Hunter X Hunter,Machi Komacine,1264,ISTP, 6w5,Explorador
Black Clover,Yuno Grinberryall,1258,INTJ, 3w4,Analista
Kimi no Na wa,Mitsuha Miyamizu,1255,INFP, 9w1,Diplomatico
Blue Period,Takahashi Yotasuke,1254,INTJ, 5w4,Analista
Kono Subarashii Sekai ni Shukufuku wo! (Konosuba),Aqua,1254,ESFP, 7w6,Explorador
Sasaki to Miyano,Sasaki Shuumei,1245,ESFP, 9w8,Explorador
Jibaku Shounen Hanako-kun,Akane Aoi,1243,ENFJ, 3w2,Diplomatico
Hunter X Hunter,Illumi Zoldyck,1242,ISTJ, 9w8,Sentinela
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Miko Iino,1242,ISTJ, 1w2,Sentinela
Kakegurui,Ririka Momobami,1236,INFJ, 9w1,Diplomatico
Boku no Hero Academia,"Enji Todoroki ""Endeavor""",1230,ESTJ, 8w9,Sentinela
Tokyo Revengers,Sanzu Haruchiyo,1220,ENTP, 6w7,Analista
Haikyuu!!,Kita Shinsuke,1218,ISTJ, 1w2,Sentinela
Majo no Takkyuubin,Kiki,1216,ENFP, 4w3,Diplomatico
Hunter X Hunter,Alluka Zoldyck,1210,INFP, 7w6,Diplomatico
Yagate Kimi ni Naru,Koito Yuu,1203,INTP, 5w4,Analista
Haikyuu!!,Azumane Asahi,1195,ISFP, 9w1,Explorador
Jujutsu Kaisen,Mai Zenin,1194,ESTP, 6w7,Explorador
Saiki Kusuo no Psi-nan,Hairo Kineshi,1189,ENFJ, 3w2,Diplomatico
